iter	MCC	Logloss
0	0	0.6215526247
1	0	0.5679591777
2	0	0.5223754845
3	0	0.4898583274
4	0	0.468004817
5	0	0.45088826
6	0	0.4388088648
7	0	0.426309577
8	0	0.4181000603
9	0	0.4120590236
10	0	0.4063379489
11	0	0.3980592863
12	0	0.3943696092
13	0	0.3910429188
14	0	0.3889784348
15	0	0.3867330662
16	0	0.3854495375
17	0	0.3843317921
18	0	0.3825956196
19	0.05596844757	0.3815050901
20	0	0.3809043466
21	0.05605699403	0.3803193258
22	0.05605699403	0.3796321877
23	0.05605699403	0.3773747405
24	0.05605699403	0.3766605965
25	0.05605699403	0.3759468159
26	0.05605699403	0.374713473
27	0.05605699403	0.3735294632
28	0.05605699403	0.3729421962
29	0.07811278806	0.372175629
30	0.07811278806	0.3718089701
31	0.07811278806	0.3711976129
32	0.07811278806	0.3704854646
33	0.08729594376	0.3697103569
34	0.07811278806	0.3692215771
35	0.07811278806	0.368016296
36	0.07811278806	0.3676954419
37	0.07811278806	0.3671565584
38	0.07811278806	0.3665829321
39	0.09567178736	0.3659818519
40	0.09567178736	0.364964115
41	0.09567178736	0.3646643131
42	0.09567178736	0.364195306
43	0.09567178736	0.3638388811
44	0.1034161472	0.3632699028
45	0.09567178736	0.3628713869
46	0.1034161472	0.3622891609
47	0.1034161472	0.3620752239
48	0.1174613786	0.3617545749
49	0.1239150855	0.3613287564
50	0.1106501994	0.3609763059
51	0.1106501994	0.3605188113
52	0.1035095636	0.3603225618
53	0.1035095636	0.3593691367
54	0.1035095636	0.3585773431
55	0.1035095636	0.3581607995
56	0.1314131936	0.3577958185
57	0.1252810588	0.3571957119
58	0.1188363962	0.3565659829
59	0.1188363962	0.3560265216
60	0.1188363962	0.3557556184
61	0.1188363962	0.355457304
62	0.1252810588	0.3552120815
63	0.14831271	0.3547778707
64	0.14831271	0.3543745536
65	0.14831271	0.3540520408
66	0.14831271	0.3535205652
67	0.1535384862	0.3529603844
68	0.1585947853	0.3526351644
69	0.1634973339	0.3516248714
70	0.1634973339	0.3511832795
71	0.1634973339	0.3506745355
72	0.1682595738	0.3504049636
73	0.1682595738	0.3498637685
74	0.1682595738	0.3495643432
75	0.1774080042	0.3491894466
76	0.1818131212	0.3487068341
77	0.1861162501	0.3482875858
78	0.1818131212	0.3479220491
79	0.1849818328	0.3475471519
80	0.1849818328	0.3469626383
81	0.1849818328	0.3461538227
82	0.1849818328	0.345031045
83	0.1849818328	0.3444278712
84	0.1849818328	0.3440408248
85	0.1849818328	0.343269563
86	0.1849818328	0.3427568739
87	0.1849818328	0.3423420087
88	0.1849818328	0.342036445
89	0.1892075783	0.3415919169
90	0.1892075783	0.3410290596
91	0.1892075783	0.3406050255
92	0.1933438625	0.3402724945
93	0.1933438625	0.3398377878
94	0.1933438625	0.3396610778
95	0.1973962338	0.338843677
96	0.1933438625	0.3384675977
97	0.1973962338	0.3381721623
98	0.1973962338	0.3378851053
99	0.1973962338	0.3369114628
100	0.2052687761	0.3364254519
101	0.2052687761	0.3360652423
102	0.2052687761	0.335707859
103	0.2090975926	0.3353310956
104	0.2052687761	0.3350408388
105	0.212859898	0.3344949189
106	0.2273086264	0.3341703257
107	0.2282769621	0.3337056451
108	0.2282769621	0.3333594744
109	0.2282769621	0.3332604446
110	0.2317406035	0.3328243646
111	0.241844553	0.3321429278
112	0.241844553	0.3316826914
113	0.241844553	0.331330109
114	0.2451234544	0.3310693676
115	0.2451234544	0.3301496979
116	0.2451234544	0.3298917404
117	0.2515581284	0.3295365748
118	0.2506694385	0.3290694955
119	0.2538384692	0.3286236977
120	0.2538384692	0.3281925956
121	0.2562726869	0.3277464187
122	0.2593725999	0.3275282754
123	0.2562726869	0.3272547126
124	0.252590755	0.3271067333
125	0.2593725999	0.3268372809
126	0.2600659159	0.3264395718
127	0.2600659159	0.3262037742
128	0.2562726869	0.3258410589
129	0.2654695827	0.3255081396
130	0.2684689547	0.3250679595
131	0.2684689547	0.3248270437
132	0.2684689547	0.3246197437
133	0.2649230851	0.3242506792
134	0.2708916001	0.3239751053
135	0.276739474	0.3232204988
136	0.276739474	0.3229025359
137	0.276739474	0.3225376702
138	0.271437012	0.3223586616
139	0.2743747576	0.3220111639
140	0.2801630723	0.3216630339
141	0.2801630723	0.3211103014
142	0.2801630723	0.3206914155
143	0.2801630723	0.3204700954
144	0.2892913332	0.3202614981
145	0.2864960017	0.3199302765
146	0.2892913332	0.3197271756
147	0.2892913332	0.319383067
148	0.2892913332	0.3191761915
149	0.2892913332	0.3188607076
150	0.2920614259	0.3185737959
151	0.2975287033	0.3183248036
152	0.2975287033	0.3181796547
153	0.3055570786	0.3178496695
154	0.3029031415	0.3172142807
155	0.3055570786	0.3168274009
156	0.3055570786	0.3165138377
157	0.3055570786	0.3162296902
158	0.3081895928	0.3159435107
159	0.3081895928	0.3155740995
160	0.3108012283	0.3151841211
161	0.3108012283	0.3148780193
162	0.3108012283	0.314685407
163	0.3133925068	0.3145057647
164	0.315963929	0.3141753041
165	0.3166714264	0.3137804168
166	0.3166714264	0.3134176871
167	0.3166714264	0.3131320493
168	0.3141061515	0.3128329361
169	0.3108012283	0.3126813875
170	0.3108012283	0.3123285154
171	0.3133925068	0.3120373257
172	0.3153537932	0.3117448589
173	0.3185159757	0.3114436804
174	0.3185159757	0.3111783666
175	0.3185159757	0.3111473109
176	0.3210491089	0.3109957073
177	0.3185159757	0.3107027914
178	0.3210491089	0.3104184083
179	0.3210491089	0.3102698763
180	0.3210491089	0.3101260027
181	0.3185159757	0.3098353156
182	0.3210491089	0.3096105473
183	0.323563773	0.3093870373
184	0.3185159757	0.3090643398
185	0.3285393876	0.3087297084
186	0.3334460521	0.3084320515
187	0.3279483712	0.3080676536
188	0.3279483712	0.3078488051
189	0.3328624373	0.3077075555
190	0.3279483712	0.3074392203
191	0.3279483712	0.3072901091
192	0.3304138478	0.3070663685
193	0.3401105027	0.3069063214
194	0.3401105027	0.3067271386
195	0.3448645312	0.3065138817
196	0.3401105027	0.3062645309
197	0.3401105027	0.3060960687
198	0.3401105027	0.3060652451
199	0.3401105027	0.3060387967
200	0.3448645312	0.305831126
201	0.349559114	0.3056460521
202	0.349559114	0.3052219363
203	0.349559114	0.3050803072
204	0.349559114	0.3048533288
205	0.3472191023	0.3046060868
206	0.351884856	0.30438371
207	0.351884856	0.3040792982
208	0.3541966087	0.3038847511
209	0.349559114	0.3037225612
210	0.3472191023	0.3033686033
211	0.351884856	0.3030365855
212	0.351884856	0.3027636698
213	0.351884856	0.3025896074
214	0.351884856	0.3022926762
215	0.3564946437	0.3021212033
216	0.3564946437	0.3019502634
217	0.3541966087	0.3016313119
218	0.3564946437	0.3013904201
219	0.3564946437	0.3011436767
220	0.361050605	0.3008120546
221	0.3587792241	0.3005424232
222	0.3587792241	0.300245554
223	0.3564946437	0.2999469264
224	0.3564946437	0.2996885656
225	0.3587792241	0.2994471784
226	0.3587792241	0.2992384642
227	0.3633090334	0.2989822731
228	0.3633090334	0.2988150555
229	0.3633090334	0.298687552
230	0.3633090334	0.2983702234
231	0.3655547494	0.2982073423
232	0.3677879854	0.2979406314
233	0.3677879854	0.2976954853
234	0.3673152422	0.2973027384
235	0.3695384286	0.2970968525
236	0.3673152422	0.2968221424
237	0.3673152422	0.2964974117
238	0.3673152422	0.2962677197
239	0.3673152422	0.2960291057
240	0.3695384286	0.2957570621
241	0.3744150392	0.2951685296
242	0.3744150392	0.2950179186
243	0.3744150392	0.2948117753
244	0.3766005492	0.2944194383
245	0.3744150392	0.294164284
246	0.3744150392	0.2939872662
247	0.3766005492	0.2937733088
248	0.3766005492	0.2936317353
249	0.3766005492	0.2933548289
250	0.3766005492	0.2932170204
251	0.3766005492	0.2930123657
252	0.3787746452	0.2928206839
253	0.3787746452	0.29256485
254	0.3757254534	0.2922251453
255	0.3757254534	0.2920847764
256	0.3804779155	0.291827417
257	0.3804779155	0.2916056802
258	0.380069611	0.2913480295
259	0.3826319296	0.2911517204
260	0.3826319296	0.2909195016
261	0.3869075833	0.2905748123
262	0.3869075833	0.2903537858
263	0.3869075833	0.2901967098
264	0.3865036018	0.2898812626
265	0.3843696609	0.2895669982
266	0.3847750923	0.2893032352
267	0.3911412453	0.2890966673
268	0.3974159274	0.2886243068
269	0.3994879063	0.288496519
270	0.3970192966	0.288391211
271	0.3970192966	0.2880296942
272	0.3949361485	0.2878986856
273	0.3949361485	0.2877209442
274	0.3974159274	0.2875085528
275	0.3994879063	0.2871608856
276	0.401988691	0.2868579718
277	0.3999283355	0.2866485961
278	0.401988691	0.2865070329
279	0.401988691	0.2861883627
280	0.401988691	0.2860829897
281	0.4060813972	0.2858601391
282	0.4060813972	0.2857513458
283	0.4056471941	0.2856229681
284	0.407681882	0.2854261709
285	0.4097075948	0.2853428249
286	0.4097075948	0.2852516984
287	0.4097075948	0.2851338086
288	0.407681882	0.2848102358
289	0.407681882	0.2846110593
290	0.407681882	0.2843504722
291	0.4097075948	0.284175449
292	0.4117244649	0.2839137175
293	0.4097075948	0.2835855815
294	0.4117244649	0.2832900134
295	0.4113382963	0.2830098032
296	0.4113382963	0.2828351938
297	0.409319925	0.2827032781
298	0.409319925	0.282499714
299	0.409319925	0.2823193644
300	0.409319925	0.2822300293
301	0.4072927126	0.2819653092
302	0.4117244649	0.2816559366
303	0.4137326216	0.2814479976
304	0.4137326216	0.2813447777
305	0.4137326216	0.2812710949
306	0.4133479551	0.2810970555
307	0.4133479551	0.2809106077
308	0.4133479551	0.2806895093
309	0.4133479551	0.2806109908
310	0.419325902	0.2804121357
311	0.4216805967	0.2802468688
312	0.4173416364	0.2800639778
313	0.4153490275	0.2799616308
314	0.4133479551	0.2798005617
315	0.4153490275	0.2795959409
316	0.419325902	0.2794499109
317	0.4173416364	0.2792062601
318	0.4173416364	0.2790824846
319	0.413002676	0.2786397014
320	0.4209608468	0.278449434
321	0.4209608468	0.2782322293
322	0.4209608468	0.277996783
323	0.4189837476	0.2776904952
324	0.4189837476	0.2774575859
325	0.4169984312	0.2772009167
326	0.4189837476	0.2770531901
327	0.4189837476	0.2768826908
328	0.422929843	0.2767492265
329	0.422929843	0.2766291721
330	0.422929843	0.2763818149
331	0.422929843	0.2762204498
332	0.4329916967	0.2759668805
333	0.4329916967	0.2759105007
334	0.4291261027	0.2757171111
335	0.4310626865	0.275497763
336	0.4310626865	0.2753815541
337	0.4310626865	0.2751927499
338	0.4310626865	0.2750379187
339	0.4329916967	0.2747616639
340	0.4310626865	0.2745651491
341	0.4271818426	0.2743807761
342	0.4291261027	0.2742364639
343	0.4291261027	0.2740536171
344	0.4310626865	0.2738242097
345	0.4310626865	0.2736183089
346	0.4368273973	0.2734704092
347	0.4387342826	0.2732309389
348	0.4368273973	0.2730985035
349	0.4368273973	0.2729608145
350	0.4387342826	0.2729000674
351	0.4444122059	0.2727150487
352	0.4425265953	0.2724642993
353	0.4444122059	0.2723560269
354	0.4444122059	0.2723365961
355	0.4444122059	0.272250428
356	0.4444122059	0.2719925921
357	0.4462909049	0.2718489954
358	0.4481627794	0.2717778542
359	0.4481627794	0.2715707134
360	0.4481627794	0.2714644898
361	0.4481627794	0.2713084871
362	0.4462909049	0.2710031433
363	0.4462909049	0.2706498861
364	0.4481627794	0.2705265769
365	0.4481627794	0.2703703809
366	0.4500279146	0.2702296056
367	0.4500279146	0.2700452899
368	0.4518863941	0.2698105803
369	0.4555837118	0.2696340121
370	0.4574227092	0.2694328198
371	0.4574227092	0.2692736718
372	0.4596043853	0.2690916611
373	0.4559356373	0.2687910679
374	0.4540916854	0.2685957698
375	0.4559356373	0.2683862281
376	0.4577731782	0.2681736687
377	0.4596043853	0.2680439793
378	0.4614293346	0.2679396801
379	0.4614293346	0.2678210618
380	0.4596043853	0.2676046226
381	0.4596043853	0.2675877769
382	0.4592553691	0.2674552538
383	0.4592553691	0.2673980141
384	0.4592553691	0.2673114256
385	0.4592553691	0.2672326642
386	0.4592553691	0.2670866589
387	0.4614293346	0.2668904067
388	0.4592553691	0.2666355168
389	0.4592553691	0.2664291601
390	0.4610817673	0.2663180362
391	0.4610817673	0.2661326088
392	0.4610817673	0.265988911
393	0.4632481004	0.2658678532
394	0.4650607558	0.2657288093
395	0.4610817673	0.2654725888
396	0.4650607558	0.2653607977
397	0.4632481004	0.2651741775
398	0.4650607558	0.265007721
399	0.4650607558	0.2648085895
400	0.4632481004	0.2646677613
401	0.4668673725	0.2644240613
402	0.4650607558	0.2642108678
403	0.4650607558	0.2640217069
404	0.4650607558	0.2638990647
405	0.4632481004	0.2637833106
406	0.4632481004	0.2637072289
407	0.4632481004	0.2636220206
408	0.4650607558	0.2633982065
409	0.4650607558	0.2633249939
410	0.4650607558	0.2632300025
411	0.4650607558	0.2630030752
412	0.4650607558	0.2629367021
413	0.4650607558	0.2628718143
414	0.4650607558	0.262667437
415	0.4650607558	0.2625320541
416	0.4686680207	0.2623952905
417	0.4686680207	0.2622863832
418	0.4686680207	0.2621118399
419	0.4722516867	0.2618240084
420	0.4740348387	0.2617139324
421	0.4740348387	0.261535494
422	0.4740348387	0.2615224705
423	0.4719127277	0.2613807359
424	0.4719127277	0.2612209304
425	0.4719127277	0.2611813374
426	0.4719127277	0.2610187949
427	0.4736972998	0.2608560131
428	0.4736972998	0.2606536643
429	0.4754761677	0.260444583
430	0.4754761677	0.260312431
431	0.4754761677	0.2600021388
432	0.4772493957	0.2598671557
433	0.4716019838	0.2596913657
434	0.4754761677	0.2594675138
435	0.4807791824	0.2592134827
436	0.4825358639	0.2591491171
437	0.4807791824	0.2588420873
438	0.4790170466	0.2586567072
439	0.4790170466	0.2584948364
440	0.4807791824	0.258293779
441	0.4790170466	0.2581268113
442	0.4790170466	0.2580342446
443	0.4790170466	0.2578651304
444	0.4790170466	0.2578439532
445	0.4807791824	0.2576559924
446	0.4807791824	0.2574156847
447	0.4790170466	0.257253722
448	0.4769421031	0.2571102316
449	0.4769421031	0.2568344703
450	0.4787109041	0.2566670238
451	0.4804741896	0.2564447981
452	0.4804741896	0.256265975
453	0.4822320201	0.256120551
454	0.4822320201	0.2560035774
455	0.4839844555	0.2558496189
456	0.4874733739	0.2557860778
457	0.4892099712	0.2556394014
458	0.4892099712	0.2555405331
459	0.4892099712	0.2553747257
460	0.4892099712	0.2552180125
461	0.4874733739	0.255069764
462	0.4892099712	0.2550052216
463	0.4909414018	0.2547779285
464	0.4892099712	0.2545820805
465	0.4926677203	0.2544396493
466	0.4943889807	0.2541563245
467	0.4926677203	0.2540752209
468	0.4926677203	0.2539030819
469	0.4926677203	0.2536945591
470	0.4926677203	0.2534765327
471	0.4926677203	0.2532981546
472	0.4943889807	0.2531602367
473	0.4961052358	0.252981554
474	0.4995229378	0.2528849383
475	0.4995229378	0.2527500114
476	0.4978165378	0.2525669993
477	0.4978165378	0.2523812813
478	0.4995229378	0.2522678066
479	0.4978165378	0.251918326
480	0.4995229378	0.2518804877
481	0.4978165378	0.2517930482
482	0.4978165378	0.2515615858
483	0.4978165378	0.2514184407
484	0.5012244863	0.2512094632
485	0.504613226	0.251005016
486	0.504613226	0.2507841974
487	0.504613226	0.250704026
488	0.5096611627	0.2505498961
489	0.506300514	0.2503346827
490	0.5096611627	0.2501892781
491	0.5113346157	0.25003789
492	0.5096611627	0.2498428491
493	0.5113346157	0.2496738513
494	0.5079831441	0.2494322729
495	0.5096611627	0.2492009616
496	0.5096611627	0.2490909166
497	0.5096611627	0.2489653585
498	0.5096611627	0.2487717769
499	0.5113346157	0.2486204858
